Company,Slogan,Category,char_count,word_count,cat_n,cat_reliable,sentiment_score,sentiment,subjectivity,score_length,score_memorability,score_emotion,score_action,score_originality,score_personal,cliches_detected,cliche_count,effectiveness_score,effectiveness_category,theme_cluster,theme_keywords
Tropicana,It's That Juice,drinking-slogans,15,3,579,True,0.0,Neutral,0.0,8.5,2,0.0,0,10,0,[],0,3.275,Faible,0,"live, make, best, love, great"
Nescafe,It all starts with a Nescafé.,drinking-slogans,29,6,579,True,0.0,Neutral,0.0,10.0,5,0.0,8,10,0,[],0,5.45,Bon,0,"live, make, best, love, great"
Tzinga,Energy bole to Sting,drinking-slogans,20,4,579,True,0.2732,Positive,0.0,10.0,2,1.366,5,10,0,[],0,4.5232,Moyen,0,"live, make, best, love, great"
Bavaria,"And now, for a Bavaria.",drinking-slogans,23,5,579,True,0.0,Neutral,0.0,10.0,3,0.0,0,10,0,[],0,3.75,Moyen,0,"live, make, best, love, great"
Sleeman,Real Ones Know,drinking-slogans,14,3,579,True,0.0,Neutral,0.30000000000000004,8.4,2,1.5000000000000002,5,10,0,[],0,4.3100000000000005,Moyen,0,"live, make, best, love, great"
Café Pelé,Imagine Brazil.,drinking-slogans,15,2,579,True,0.0,Neutral,0.0,7.0,0,0.0,10,10,0,[],0,4.05,Moyen,0,"live, make, best, love, great"
Tooheys,For the love of beer.,drinking-slogans,21,5,579,True,0.6369,Positive,0.6,10.0,2,8.1845,0,10,0,[],0,5.1369,Bon,0,"live, make, best, love, great"
Blue Moon,Something's Brewing,drinking-slogans,19,2,579,True,0.0,Neutral,0.0,7.0,2,0.0,0,10,0,[],0,3.05,Faible,0,"live, make, best, love, great"
Smithwick's,It's what you do with it that counts,drinking-slogans,36,8,579,True,0.0,Neutral,0.0,8.5,8,0.0,8,10,5,[],0,6.475,Bon,0,"live, make, best, love, great"
Tyrrell's,Absurdly Good,drinking-slogans,13,2,579,True,0.4404,Positive,0.6000000000000001,6.8,2,5.202,0,10,0,[],0,4.0604,Moyen,7,"good, food, feel, great, life"
Sun Drop,Drop It Like It's Hot,drinking-slogans,21,5,579,True,0.1027,Positive,0.8500000000000001,10.0,5,4.7635,7,10,0,[],0,6.2527,Bon,8,"like, ll, feel, ve, way"
Nehi,Truly Different,drinking-slogans,15,2,579,True,0.4404,Positive,0.6,7.0,0,5.202,0,10,0,[],0,3.5904,Moyen,0,"live, make, best, love, great"
Ahmad Tea,Not for the Lazy!,drinking-slogans,17,4,579,True,0.3404,Positive,1.0,8.5,2,6.702,0,10,0,[],0,4.6154,Moyen,0,"live, make, best, love, great"
